时间,预测值
2025-10-20 00:00:00,391.11
2025-10-20 01:00:00,386.84
2025-10-20 02:00:00,383.75
2025-10-20 03:00:00,379.81
2025-10-20 04:00:00,382.66
2025-10-20 05:00:00,386.36
2025-10-20 06:00:00,395.14
2025-10-20 07:00:00,396.72
2025-10-20 08:00:00,390.71
2025-10-20 09:00:00,389.44
2025-10-20 10:00:00,397.86
2025-10-20 11:00:00,393.99
2025-10-20 12:00:00,392.31
2025-10-20 13:00:00,395.84
2025-10-20 14:00:00,497.76
2025-10-20 15:00:00,530.01
2025-10-20 16:00:00,553.95
2025-10-20 17:00:00,561.84
2025-10-20 18:00:00,530.67
2025-10-20 19:00:00,481.4
2025-10-20 20:00:00,463.22
2025-10-20 21:00:00,470.32
2025-10-20 22:00:00,531.09
2025-10-20 23:00:00,471.57
2025-10-21 00:00:00,409.96
2025-10-21 01:00:00,378.46
2025-10-21 02:00:00,348.39
2025-10-21 03:00:00,321.88
2025-10-21 04:00:00,324.96
2025-10-21 05:00:00,331.85
2025-10-21 06:00:00,341.82
2025-10-21 07:00:00,349.01
2025-10-21 08:00:00,353.17
2025-10-21 09:00:00,345.04
2025-10-21 10:00:00,332.29
2025-10-21 11:00:00,335.02
2025-10-21 12:00:00,339.68
2025-10-21 13:00:00,344.16
2025-10-21 14:00:00,351.03
2025-10-21 15:00:00,366.32
2025-10-21 16:00:00,424.31
2025-10-21 17:00:00,520.84
2025-10-21 18:00:00,567.68
2025-10-21 19:00:00,585.73
2025-10-21 20:00:00,586.94
2025-10-21 21:00:00,581.61
2025-10-21 22:00:00,561.32
2025-10-21 23:00:00,540.04
2025-10-22 00:00:00,508.92
2025-10-22 01:00:00,465.15
2025-10-22 02:00:00,426.84
2025-10-22 03:00:00,430.55
2025-10-22 04:00:00,429.84
2025-10-22 05:00:00,408.92
2025-10-22 06:00:00,403.23
2025-10-22 07:00:00,397.53
2025-10-22 08:00:00,401.56
2025-10-22 09:00:00,407.5
2025-10-22 10:00:00,419.54
2025-10-22 11:00:00,427.74
2025-10-22 12:00:00,425.99
2025-10-22 13:00:00,416.03
2025-10-22 14:00:00,414.71
2025-10-22 15:00:00,427.53
2025-10-22 16:00:00,381.53
2025-10-22 17:00:00,391.73
2025-10-22 18:00:00,415.99
2025-10-22 19:00:00,482.24
2025-10-22 20:00:00,519.08
2025-10-22 21:00:00,476.26
2025-10-22 22:00:00,443.09
2025-10-22 23:00:00,400.3
